run,path,status,reason,warnings,n_trials,n_valid_trials,run_id,task_id,task_hash,study_id,pair_id,arm,seed,gpu,start_commit,prepared_id,resources,budget_seconds,agent_model,trial,score,metric_version,maximize,validation_rows,source_sha256,evaluator_sha256,environment_sha256
jubias-pair-001-analogy,/Users/william/nautilus/autoresearch-result/jubias-pair-001-analogy,excluded,no_valid_completed_result,,0,0,jubias-pair-001-analogy,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-001,analogy,1337,,f64d2bfae2aad9278a407d151f5f4de300822c07,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (any model; VRAM varies); CPU=8; RAM=32Gi,,,,,,,,,,
jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,/Users/william/nautilus/autoresearch-result/jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,eligible,,,7,7,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-001,analogy,1337,Tesla V100-SXM2-32GB,5cae3611dacebad3790876a9b3b0a564f14a2c4c,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0007,0.9108353078322378,jubias-continuous-auc-v1,True,90244,bdb63a1a6c135e7bc73051dffa9ea2ce797c0f7fed399de99fea66966f6160ed,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-001-analogy-431ea4fc-f031-43bb-bdf5-a8e28bc9e787,/Users/william/nautilus/autoresearch-result/jubias-pair-001-analogy-431ea4fc-f031-43bb-bdf5-a8e28bc9e787,excluded,no_valid_completed_result,,0,0,jubias-pair-001-analogy-431ea4fc-f031-43bb-bdf5-a8e28bc9e787,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-001,analogy,1337,"Tesla V100-SXM2-32GB, 32768 MiB, 7.0, 580.173.02",502fcc1d1cf16686c6914d492f113b822d94bf60,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,,,,,,,,
jubias-pair-001-analogy-67de599d-d71d-4987-af7b-58469549f21e,/Users/william/nautilus/autoresearch-result/jubias-pair-001-analogy-67de599d-d71d-4987-af7b-58469549f21e,excluded,no_valid_completed_result,,0,0,jubias-pair-001-analogy-67de599d-d71d-4987-af7b-58469549f21e,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-001,analogy,1337,"{'name': 'Tesla V100-SXM2-32GB', 'vram_mb': 32494.125, 'capability': '7.0'}",502fcc1d1cf16686c6914d492f113b822d94bf60,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,,,,,,,,
jubias-pair-001-baseline,/Users/william/nautilus/autoresearch-result/jubias-pair-001-baseline,excluded,no_valid_completed_result,,0,0,jubias-pair-001-baseline,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-001,baseline,1337,"NVIDIA GeForce GTX 1080 Ti, compute capability 6.1 (sm_61), 11264 MiB",f64d2bfae2aad9278a407d151f5f4de300822c07,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (any model; VRAM varies); CPU=8; RAM=32Gi,,,,,,,,,,
jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,/Users/william/nautilus/autoresearch-result/jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,eligible,,,11,6,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-001,baseline,1337,NVIDIA GeForce RTX 2080 Ti,502fcc1d1cf16686c6914d492f113b822d94bf60,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0011,0.9360125114721569,jubias-continuous-auc-v1,True,90244,3a8e05618d2df57f5ac04153bcdc1b5e47494601b953e6b41148fa238c38cec3,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,/Users/william/nautilus/autoresearch-result/jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,eligible,,,17,16,jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-002,analogy,1337,NVIDIA GeForce RTX 2080 Ti,5cae3611dacebad3790876a9b3b0a564f14a2c4c,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0015,0.9361441997283003,jubias-continuous-auc-v1,True,90244,8f36974862110788307fe6b885ccd0c7c87e1c11040c7ed2bcce3aa9980e02fe,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,/Users/william/nautilus/autoresearch-result/jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,eligible,,,9,8,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-002,baseline,1337,Tesla V100-SXM2-32GB,5cae3611dacebad3790876a9b3b0a564f14a2c4c,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0009,0.9290932704576663,jubias-continuous-auc-v1,True,90244,65702080c256adff5c2e5c074b1150d4cb668ecbd81eb4885a1849cfb4bd5d6f,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,/Users/william/nautilus/autoresearch-result/jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,eligible,,,10,7,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-003,analogy,1337,"{'name': 'Tesla V100-SXM2-32GB', 'vram_mb': 32494, 'capability': [7, 0]}",5cae3611dacebad3790876a9b3b0a564f14a2c4c,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0009,0.9116808430656576,jubias-continuous-auc-v1,True,90244,0aba0e686645ce2e6ee72d8b3a457be7514e42880087a3683f5e0896ba63e0c0,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,/Users/william/nautilus/autoresearch-result/jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,eligible,,best_pointer_differs_from_verified_optimum,17,16,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-003,baseline,1337,"NVIDIA GeForce RTX 2080 Ti, 11264 MiB",5cae3611dacebad3790876a9b3b0a564f14a2c4c,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0016,0.9380315705811114,jubias-continuous-auc-v1,True,90244,c9df7eafd7cc9bdd21fee5448d5bff0e8b62be0a479080b5c9d20b0cf94d3237,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
